,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,price,city-L/100km,highway-L/100km,width_normalized,length_normalized,height_normalized,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration
10,0,192,bmw,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,16925,10.217391304347826,8.10344827586207,0.3846153846153845,0.5328358208955226,0.5416666666666666,Low,False,True,std
11,0,188,bmw,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,20970,11.19047619047619,8.392857142857142,0.3846153846153845,0.5328358208955226,0.5416666666666666,Medium,False,True,std
12,0,188,bmw,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,21105,11.19047619047619,8.392857142857142,0.3846153846153845,0.5328358208955226,0.5416666666666666,Medium,False,True,std
13,1,122,bmw,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,20,24565,11.75,9.4,0.5641025641025647,0.7149253731343285,0.6583333333333338,Medium,False,True,std
14,0,122,bmw,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,16,30760,14.6875,10.681818181818182,0.5641025641025647,0.7149253731343285,0.6583333333333338,Medium,False,True,std
15,0,122,bmw,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,16,41315,14.6875,10.681818181818182,0.6495726495726502,0.7865671641791048,0.49166666666666714,Medium,False,True,std
16,0,122,bmw,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15,36880,15.666666666666666,11.75,0.9059829059829065,0.8343283582089553,0.7083333333333334,Medium,False,True,std
17,2,121,chevrolet,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,47,5151,5.0,4.433962264150943,0.0,0.0,0.45000000000000046,Low,False,True,std
18,1,98,chevrolet,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,38,6295,6.184210526315789,5.465116279069767,0.2820512820512823,0.22089552238805987,0.35000000000000026,Low,False,True,std
19,0,81,chevrolet,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,38,6575,6.184210526315789,5.465116279069767,0.2820512820512823,0.26417910447761217,0.35000000000000026,Low,False,True,std
20,1,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,37,5572,6.351351351351352,5.7317073170731705,0.2991452991452991,0.24179104477611965,0.25,Low,False,True,std
21,1,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,6377,7.580645161290323,6.184210526315789,0.2991452991452991,0.24179104477611965,0.25,Low,False,True,std
22,1,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,24,7957,9.791666666666666,7.833333333333333,0.2991452991452991,0.24179104477611965,0.25,Low,False,True,turbo
23,1,148,dodge,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,6229,7.580645161290323,6.184210526315789,0.2991452991452991,0.24179104477611965,0.2333333333333337,Low,False,True,std
24,1,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,6692,7.580645161290323,6.184210526315789,0.2991452991452991,0.24179104477611965,0.2333333333333337,Low,False,True,std
25,1,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,7609,7.580645161290323,6.184210526315789,0.2991452991452991,0.24179104477611965,0.2333333333333337,Low,False,True,std
26,1,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,24,8558,9.791666666666666,7.833333333333333,0.2991452991452991,0.24179104477611965,0.2333333333333337,Low,False,True,turbo
27,-1,110,dodge,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,24,8921,9.791666666666666,7.833333333333333,0.3675213675213672,0.5,1.0,Low,False,True,std
28,3,145,dodge,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,19,12964,12.368421052631579,9.791666666666666,0.5128205128205127,0.4791044776119402,0.20000000000000048,Medium,False,True,turbo
29,2,137,honda,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,49,6479,4.795918367346939,4.351851851851852,0.30769230769230776,0.05223880597014925,0.25,Low,False,True,std
30,2,137,honda,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,31,6855,7.580645161290323,6.184210526315789,0.30769230769230776,0.05223880597014925,0.25,Low,False,True,std
31,1,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,38,5399,6.184210526315789,5.595238095238095,0.3162393162393164,0.13283582089552248,0.40000000000000036,Low,False,True,std
32,1,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,6529,7.833333333333333,6.911764705882353,0.3162393162393164,0.13283582089552248,0.40000000000000036,Low,False,True,std
33,1,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,7129,7.833333333333333,6.911764705882353,0.3162393162393164,0.13283582089552248,0.40000000000000036,Low,False,True,std
34,0,110,honda,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,7295,7.833333333333333,6.911764705882353,0.3162393162393164,0.33283582089552255,0.5583333333333336,Low,False,True,std
35,0,78,honda,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,30,7295,7.833333333333333,6.911764705882353,0.30769230769230776,0.23880597014925373,0.875,Low,False,True,std
36,0,106,honda,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,7895,8.703703703703704,7.121212121212121,0.4188034188034192,0.39402985074626873,0.4583333333333333,Low,False,True,std
37,0,106,honda,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,9095,8.703703703703704,7.121212121212121,0.4188034188034192,0.39402985074626873,0.4583333333333333,Low,False,True,std
38,0,85,honda,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,8845,8.703703703703704,7.121212121212121,0.4188034188034192,0.5119402985074628,0.5250000000000004,Low,False,True,std
39,0,85,honda,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,10295,8.703703703703704,7.121212121212121,0.18803418803418823,0.5119402985074628,0.5250000000000004,Low,False,True,std
40,0,85,honda,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,24,12945,9.791666666666666,8.392857142857142,0.4188034188034192,0.5119402985074628,0.5250000000000004,Low,False,True,std
41,1,107,honda,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,25,10345,9.4,7.580645161290323,0.4871794871794873,0.417910447761194,0.2666666666666669,Low,False,True,std
42,0,122,isuzu,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800.0,24,6785,9.791666666666666,8.10344827586207,0.12820512820512817,0.4417910447761193,0.47500000000000026,Low,False,True,std
43,2,122,isuzu,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000.0,24,11048,9.791666666666666,8.10344827586207,0.4188034188034192,0.4701492537313433,0.3000000000000001,Low,False,True,std
44,0,145,jaguar,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15,32250,15.666666666666666,12.368421052631579,0.7948717948717945,0.8731343283582089,0.4166666666666667,Medium,False,True,std
45,0,122,jaguar,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15,35550,15.666666666666666,12.368421052631579,0.7948717948717945,0.8731343283582089,0.4166666666666667,Medium,False,True,std
46,0,122,jaguar,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000.0,13,36000,18.076923076923077,13.823529411764707,0.8803418803418799,0.7552238805970148,0.0,High,False,True,std
47,1,104,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,30,5195,7.833333333333333,7.580645161290323,0.33333333333333376,0.26865671641791045,0.5250000000000004,Low,False,True,std
48,1,104,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,6095,7.580645161290323,6.184210526315789,0.33333333333333376,0.26865671641791045,0.5250000000000004,Low,False,True,std
49,1,104,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,6795,7.580645161290323,6.184210526315789,0.33333333333333376,0.26865671641791045,0.5250000000000004,Low,False,True,std
50,1,113,mazda,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,6695,7.580645161290323,6.184210526315789,0.33333333333333376,0.38358208955223905,0.5250000000000004,Low,False,True,std
51,1,113,mazda,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,31,7395,7.580645161290323,6.184210526315789,0.33333333333333376,0.38358208955223905,0.5250000000000004,Low,False,True,std
52,3,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000.0,17,10945,13.823529411764707,10.217391304347826,0.4615384615384619,0.4164179104477613,0.15000000000000036,Low,False,True,std
53,3,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000.0,17,11845,13.823529411764707,10.217391304347826,0.4615384615384619,0.4164179104477613,0.15000000000000036,Low,False,True,std
54,3,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000.0,17,13645,13.823529411764707,10.217391304347826,0.4615384615384619,0.4164179104477613,0.15000000000000036,Low,False,True,std
55,3,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,two,80,mpfi,3.3297512437810943,3.255422885572139,9.4,135,6000.0,16,15645,14.6875,10.217391304347826,0.4615384615384619,0.4164179104477613,0.15000000000000036,Medium,False,True,std
56,1,129,mazda,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,8845,9.038461538461538,7.34375,0.52991452991453,0.547761194029851,0.49166666666666714,Low,False,True,std
57,0,115,mazda,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,8495,9.038461538461538,7.34375,0.52991452991453,0.547761194029851,0.6416666666666669,Low,False,True,std
58,1,129,mazda,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,10595,9.038461538461538,7.34375,0.52991452991453,0.547761194029851,0.49166666666666714,Low,False,True,std
59,0,115,mazda,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,10245,9.038461538461538,7.34375,0.52991452991453,0.547761194029851,0.6416666666666669,Low,False,True,std
60,0,122,mazda,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650.0,36,10795,6.527777777777778,5.595238095238095,0.52991452991453,0.547761194029851,0.6416666666666669,Low,True,False,std
61,0,115,mazda,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,11245,9.038461538461538,7.34375,0.52991452991453,0.547761194029851,0.6416666666666669,Low,False,True,std
62,0,118,mazda,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,19,18280,12.368421052631579,8.703703703703704,0.49572649572649535,0.5059701492537314,0.5500000000000002,Medium,False,True,std
63,0,122,mazda,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200.0,31,18344,7.580645161290323,6.0256410256410255,0.49572649572649535,0.5059701492537314,0.5500000000000002,Low,True,False,std
64,-1,93,mercedes-benz,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25552,10.681818181818182,9.4,0.8547008547008544,0.7432835820895524,0.7250000000000002,Medium,True,False,turbo
65,-1,93,mercedes-benz,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,28248,10.681818181818182,9.4,0.8547008547008544,0.7432835820895524,0.9083333333333338,Medium,True,False,turbo
66,0,93,mercedes-benz,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,28176,10.681818181818182,9.4,0.8547008547008544,0.6925373134328359,0.5916666666666668,Medium,True,False,turbo
67,-1,93,mercedes-benz,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,31600,10.681818181818182,9.4,0.9743589743589746,0.917910447761194,0.7083333333333334,Medium,True,False,turbo
68,-1,122,mercedes-benz,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,16,34184,14.6875,13.055555555555555,0.9743589743589746,0.917910447761194,0.7250000000000002,Medium,False,True,std
69,3,142,mercedes-benz,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,16,35056,14.6875,13.055555555555555,0.8717948717948718,0.5850746268656719,0.25,Medium,False,True,std
70,0,122,mercedes-benz,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500.0,14,40960,16.785714285714285,14.6875,0.9743589743589746,1.0,0.7416666666666671,Medium,False,True,std
71,1,122,mercedes-benz,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500.0,14,45400,16.785714285714285,14.6875,1.0,0.8671641791044775,0.6333333333333334,Medium,False,True,std
72,1,122,mercury,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000.0,19,16503,12.368421052631579,9.791666666666666,0.6581196581196582,0.5567164179104479,0.5833333333333334,Medium,False,True,turbo
73,2,161,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,37,5389,6.351351351351352,5.7317073170731705,0.35042735042735107,0.24179104477611965,0.25,Low,False,True,std
74,2,161,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,6189,7.580645161290323,6.184210526315789,0.35042735042735107,0.24179104477611965,0.25,Low,False,True,std
75,2,161,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,6669,7.580645161290323,6.184210526315789,0.35042735042735107,0.24179104477611965,0.25,Low,False,True,std
76,1,161,mitsubishi,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,24,7689,9.791666666666666,7.833333333333333,0.2991452991452991,0.24179104477611965,0.25,Low,False,True,turbo
77,3,153,mitsubishi,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,9959,10.217391304347826,7.833333333333333,0.4358974358974365,0.4761194029850747,0.13333333333333344,Low,False,True,turbo
78,3,153,mitsubishi,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,8499,9.4,7.34375,0.4358974358974365,0.4761194029850747,0.13333333333333344,Low,False,True,std
79,3,122,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000.0,19,12629,12.368421052631579,9.791666666666666,0.5128205128205127,0.4791044776119402,0.20000000000000048,Medium,False,True,turbo
80,3,122,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,19,14869,12.368421052631579,9.791666666666666,0.5128205128205127,0.4791044776119402,0.20000000000000048,Medium,False,True,turbo
81,3,122,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,19,14489,12.368421052631579,9.791666666666666,0.5128205128205127,0.4791044776119402,0.20000000000000048,Medium,False,True,turbo
82,1,125,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,6989,9.4,7.34375,0.4358974358974365,0.4671641791044778,0.31666666666666704,Low,False,True,std
83,1,125,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,8189,9.4,7.34375,0.4358974358974365,0.4671641791044778,0.31666666666666704,Low,False,True,std
84,1,125,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,9279,10.217391304347826,7.833333333333333,0.4358974358974365,0.4671641791044778,0.31666666666666704,Low,False,True,turbo
85,-1,137,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,9279,10.217391304347826,7.833333333333333,0.4358974358974365,0.4671641791044778,0.31666666666666704,Low,False,True,std
86,1,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,5499,7.580645161290323,6.351351351351352,0.2991452991452991,0.3611940298507465,0.5583333333333336,Low,False,True,std
87,1,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,45,7099,5.222222222222222,4.7,0.2991452991452991,0.3611940298507465,0.5583333333333336,Low,True,False,std
88,1,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6649,7.580645161290323,6.351351351351352,0.2991452991452991,0.3611940298507465,0.5583333333333336,Low,False,True,std
89,1,122,nissan,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6849,7.580645161290323,6.351351351351352,0.2991452991452991,0.3611940298507465,0.5583333333333336,Low,False,True,std
90,1,103,nissan,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,7349,7.580645161290323,6.351351351351352,0.2991452991452991,0.43432835820895516,0.47500000000000026,Low,False,True,std
91,1,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,7299,7.580645161290323,6.351351351351352,0.2991452991452991,0.3611940298507465,0.5583333333333336,Low,False,True,std
92,1,128,nissan,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,7799,7.580645161290323,6.351351351351352,0.2991452991452991,0.3656716417910448,0.4583333333333333,Low,False,True,std
93,1,122,nissan,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,7499,7.580645161290323,6.351351351351352,0.2991452991452991,0.3611940298507465,0.5583333333333336,Low,False,True,std
94,1,103,nissan,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,7999,7.580645161290323,6.351351351351352,0.2991452991452991,0.43432835820895516,0.47500000000000026,Low,False,True,std
95,2,168,nissan,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,8249,7.580645161290323,6.351351351351352,0.2991452991452991,0.3179104477611942,0.4583333333333333,Low,False,True,std
96,0,106,nissan,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,8949,8.703703703703704,6.911764705882353,0.4188034188034192,0.4820895522388061,0.5750000000000005,Low,False,True,std
97,0,106,nissan,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,9549,8.703703703703704,6.911764705882353,0.4188034188034192,0.4820895522388061,0.5750000000000005,Low,False,True,std
98,0,128,nissan,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,13499,13.823529411764707,10.681818181818182,0.52991452991453,0.6059701492537313,0.6083333333333337,Medium,False,True,std
99,0,108,nissan,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,14399,13.823529411764707,10.681818181818182,0.52991452991453,0.6492537313432836,0.691666666666667,Medium,False,True,std
100,0,108,nissan,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,19,13499,12.368421052631579,9.4,0.52991452991453,0.6492537313432836,0.6083333333333337,Medium,False,True,std
101,3,194,nissan,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,19,17199,12.368421052631579,9.4,0.6495726495726502,0.4417910447761193,0.1583333333333338,Medium,False,True,std
102,3,194,nissan,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200.0,17,19699,13.823529411764707,10.217391304347826,0.6495726495726502,0.4417910447761193,0.1583333333333338,High,False,True,turbo
103,1,231,nissan,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,19,18399,12.368421052631579,9.4,0.6495726495726502,0.5582089552238807,0.1583333333333338,Medium,False,True,std
104,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,11900,12.368421052631579,9.791666666666666,0.6923076923076928,0.6805970149253731,0.7416666666666671,Low,False,True,std
